name,team,position,height,height_inches,wingspan,wingspan_inches,wingspan_advantage,games,minutes,avg_dist_of_fg,2pt_rate,3pt_rate,fg_percent,2pt_percent,3pt_percent,ft_percent,e_fg_percent,ts_percent,pts,trb,stl,blk,d_rtg,dws,dbpm
Victor Wembanyama,SAS,C,"7'4""",88,"8'0""",96,8,46,1527,17,0.53,0.47,0.476,0.586,0.352,0.836,0.559,0.594,26.3,11.9,1.2,4.1,108,2.8,2.9
Vince Williams Jr.,MEM,SG,"6'4""",76,"6'11""",83,7,27,499,16.9,0.431,0.569,0.401,0.569,0.274,0.792,0.479,0.504,12.9,7.1,0.9,0.5,115,0.5,-0.3
Walker Kessler,UTA,C,"7'0.25""",84.25,"7'4.25""",88.25,4,58,1740,4.3,0.919,0.081,0.663,0.706,0.176,0.52,0.671,0.66,13.3,14.6,0.7,2.9,115,1.8,0.7
Wendell Carter Jr.,ORL,C,"6'8.75""",80.75,"7'4.5""",88.5,7.75,68,1758,12.1,0.678,0.322,0.46,0.568,0.234,0.737,0.498,0.544,12.7,10.1,1.1,0.8,109,3,0.9
Wendell Moore Jr.,CHA,SG,"6'4.25""",76.25,"7'0.75""",84.75,8.5,36,499,11.1,0.675,0.325,0.468,0.529,0.341,0.818,0.524,0.553,10.8,6.9,1.4,0.4,115,0.5,-0.1
Yves Missi,NOP,C,"6'10.75""",82.75,"7'2""",86,3.25,73,1956,2.8,0.998,0.002,0.547,0.548,0,0.623,0.547,0.572,12.2,11.1,0.7,1.8,119,1.1,-1.4
Zaccharie Risacher,ATL,SF,"6'8.25""",80.25,"6'10.5""",82.5,2.25,75,1843,13.5,0.558,0.442,0.458,0.54,0.355,0.711,0.537,0.558,18.4,5.2,1,0.7,118,1.1,-1.8
Zach Collins,CHI,C,"6'10.25""",82.25,"7'1""",85,2.75,64,977,11.6,0.649,0.351,0.507,0.617,0.302,0.885,0.56,0.605,15,10.6,1.1,1.1,115,1,0.8
Zach Edey,MEM,C,"7'3.75""",87.75,"7'10.75""",94.75,7,66,1416,6.1,0.88,0.12,0.58,0.612,0.346,0.709,0.6,0.624,15.5,13.9,0.9,2.2,110,2.2,0.1
Zach LaVine,SAC,SG,"6'4.5""",76.5,"6'8.25""",80.25,3.75,74,2602,15.9,0.562,0.438,0.511,0.562,0.446,0.825,0.609,0.639,23.9,4.4,0.8,0.2,119,1.4,-1.6
Zeke Nnaji,DEN,PF,"6'9.25""",81.25,"7'2""",86,4.75,57,608,11.4,0.631,0.369,0.496,0.596,0.327,0.614,0.557,0.574,10.9,5.3,1.5,2.3,114,0.6,0.7
Ziaire Williams,BKN,SF,"6'8.25""",80.25,"6'10.25""",82.25,2,63,1541,16.2,0.419,0.581,0.412,0.509,0.341,0.821,0.511,0.55,14.8,6.7,1.4,0.7,114,1.6,-0.1
