"Event","NOC"
"Rowing Men's Single Sculls","USA"
"Rowing Men's Single Sculls","UZB"
"Rowing Men's Single Sculls","VAN"
"Rowing Men's Single Sculls","VEN"
"Rowing Men's Single Sculls","YUG"
"Rowing Men's Single Sculls","ZIM"
"Rowing Women's Coxed Eights","AUS"
"Rowing Women's Coxed Eights","BLR"
"Rowing Women's Coxed Eights","BUL"
"Rowing Women's Coxed Eights","CAN"
"Rowing Women's Coxed Eights","CHN"
"Rowing Women's Coxed Eights","EUN"
"Rowing Women's Coxed Eights","FRG"
"Rowing Women's Coxed Eights","GBR"
"Rowing Women's Coxed Eights","GDR"
"Rowing Women's Coxed Eights","GER"
"Rowing Women's Coxed Eights","NED"
"Rowing Women's Coxed Eights","NZL"
"Rowing Women's Coxed Eights","POL"
"Rowing Women's Coxed Eights","ROU"
"Rowing Women's Coxed Eights","TCH"
"Rowing Women's Coxed Eights","URS"
"Rowing Women's Coxed Eights","USA"
"Rowing Women's Coxed Fours","AUS"
"Rowing Women's Coxed Fours","BUL"
"Rowing Women's Coxed Fours","CAN"
"Rowing Women's Coxed Fours","CHN"
"Rowing Women's Coxed Fours","FRG"
"Rowing Women's Coxed Fours","GBR"
"Rowing Women's Coxed Fours","GDR"
"Rowing Women's Coxed Fours","KOR"
"Rowing Women's Coxed Fours","NED"
"Rowing Women's Coxed Fours","POL"
"Rowing Women's Coxed Fours","ROU"
"Rowing Women's Coxed Fours","URS"
"Rowing Women's Coxed Fours","USA"
"Rowing Women's Coxed Quadruple Sculls","BUL"
"Rowing Women's Coxed Quadruple Sculls","CAN"
"Rowing Women's Coxed Quadruple Sculls","DEN"
"Rowing Women's Coxed Quadruple Sculls","FRA"
"Rowing Women's Coxed Quadruple Sculls","FRG"
"Rowing Women's Coxed Quadruple Sculls","GDR"
"Rowing Women's Coxed Quadruple Sculls","HUN"
"Rowing Women's Coxed Quadruple Sculls","ITA"
"Rowing Women's Coxed Quadruple Sculls","NED"
"Rowing Women's Coxed Quadruple Sculls","POL"
"Rowing Women's Coxed Quadruple Sculls","ROU"
"Rowing Women's Coxed Quadruple Sculls","TCH"
"Rowing Women's Coxed Quadruple Sculls","URS"
"Rowing Women's Coxed Quadruple Sculls","USA"
"Rowing Women's Coxless Fours","AUS"
"Rowing Women's Coxless Fours","BUL"
"Rowing Women's Coxless Fours","CAN"
