"","Player1","Player2","Opponent1","Opponent2","Rank","Year","Gender","Category","Matches","Wins","Losses","Points For","Points Against","Difference","win_pct","total_pts","shot_pct"
"598","Mathias BOE","Mads CONRAD-PETERSEN","HAN Chengkai","ZHOU Haodong",23,2019,"Men","Doubles",4,3,1,176,154,22,0.75,330,0.533333333333333
"599","Marcus Fernaldi GIDEON","Kevin Sanjaya SUKAMULJO","GOH V Shem","TAN Wee Kiong",24,2019,"Men","Doubles",4,4,0,172,132,40,1,304,0.565789473684211
"600","LEE Yang","WANG Chi-Lin","Vladimir IVANOV","Ivan SOZONOV",25,2019,"Men","Doubles",3,3,0,169,150,19,1,319,0.529780564263323
"601","ZHENG Siwei","HUANG Yaqiong","Praveen JORDAN","Melati Daeva OKTAVIANTI",1,2019,"Mixed","Doubles",7,5,2,349,313,36,0.714285714285714,662,0.527190332326284
"602","ZHENG Siwei","HUANG Yaqiong","Yuta WATANABE","Arisa HIGASHINO",2,2019,"Mixed","Doubles",6,5,1,276,244,32,0.833333333333333,520,0.530769230769231
"603","WANG Yilyu","HUANG Dongping","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI",3,2019,"Mixed","Doubles",6,5,1,265,213,52,0.833333333333333,478,0.554393305439331
"604","WANG Yilyu","HUANG Dongping","CHAN Peng Soon","GOH Liu Ying",4,2019,"Mixed","Doubles",5,5,0,254,195,59,1,449,0.565701559020045
"605","Praveen JORDAN","Melati Daeva OKTAVIANTI","Hafiz FAIZAL","Gloria Emanuelle WIDJAJA",5,2019,"Mixed","Doubles",5,4,1,218,196,22,0.8,414,0.526570048309179
"606","Rinov RIVALDY","Pitha Haningtyas MENTARI","TAN Kian Meng","LAI Pei Jing",6,2019,"Mixed","Doubles",4,2,2,211,200,11,0.5,411,0.51338199513382
"607","ZHENG Siwei","HUANG Yaqiong","WANG Yilyu","HUANG Dongping",7,2019,"Mixed","Doubles",5,4,1,208,185,23,0.8,393,0.529262086513995
"608","ZHENG Siwei","HUANG Yaqiong","TAN Kian Meng","LAI Pei Jing",8,2019,"Mixed","Doubles",4,4,0,202,152,50,1,354,0.570621468926554
"609","Praveen JORDAN","Melati Daeva OKTAVIANTI","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI",9,2019,"Mixed","Doubles",4,3,1,195,161,34,0.75,356,0.547752808988764
"610","ZHENG Siwei","HUANG Yaqiong","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI",10,2019,"Mixed","Doubles",5,3,2,194,155,39,0.6,349,0.555873925501433
"611","Yuta WATANABE","Arisa HIGASHINO","SEO Seung Jae","CHAE YuJung",11,2019,"Mixed","Doubles",5,3,2,186,169,17,0.6,355,0.523943661971831
"612","WANG Yilyu","HUANG Dongping","Praveen JORDAN","Melati Daeva OKTAVIANTI",12,2019,"Mixed","Doubles",4,3,1,184,140,44,0.75,324,0.567901234567901
"613","CHAN Peng Soon","GOH Liu Ying","Tontowi AHMAD","Winny Oktavina KANDOW",13,2019,"Mixed","Doubles",3,1,2,173,167,6,0.333333333333333,340,0.508823529411765
"614","WANG Yilyu","HUANG Dongping","HE Jiting","DU Yue",14,2019,"Mixed","Doubles",4,3,1,171,144,27,0.75,315,0.542857142857143
"615","ZHENG Siwei","HUANG Yaqiong","SEO Seung Jae","CHAE YuJung",15,2019,"Mixed","Doubles",4,4,0,170,111,59,1,281,0.604982206405694
"616","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI","Mark LAMSFUSS","Isabel HERTTRICH",16,2019,"Mixed","Doubles",3,3,0,165,121,44,1,286,0.576923076923077
"617","Marcus ELLIS","Lauren SMITH","Mark LAMSFUSS","Isabel HERTTRICH",17,2019,"Mixed","Doubles",4,3,1,163,145,18,0.75,308,0.529220779220779
"618","ZHENG Siwei","HUANG Yaqiong","Hafiz FAIZAL","Gloria Emanuelle WIDJAJA",18,2019,"Mixed","Doubles",3,2,1,161,140,21,0.666666666666667,301,0.534883720930233
"619","Rodion ALIMOV","Alina DAVLETOVA","Thom GICQUEL","Delphine DELRUE",19,2019,"Mixed","Doubles",3,3,0,160,122,38,1,282,0.567375886524823
"620","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI","LU Kai","CHEN Lu",20,2019,"Mixed","Doubles",3,2,1,157,141,16,0.666666666666667,298,0.526845637583893
"621","WANG Yilyu","HUANG Dongping","SEO Seung Jae","CHAE YuJung",20,2019,"Mixed","Doubles",3,3,0,157,131,26,1,288,0.545138888888889
"622","Yuta WATANABE","Arisa HIGASHINO","Praveen JORDAN","Melati Daeva OKTAVIANTI",22,2019,"Mixed","Doubles",3,2,1,153,138,15,0.666666666666667,291,0.525773195876289
"623","GOH Soon Huat","LAI Shevon Jemie","Marcus ELLIS","Lauren SMITH",23,2019,"Mixed","Doubles",3,3,0,150,134,16,1,284,0.528169014084507
"624","Hafiz FAIZAL","Gloria Emanuelle WIDJAJA","Tontowi AHMAD","Winny Oktavina KANDOW",24,2019,"Mixed","Doubles",3,2,1,149,131,18,0.666666666666667,280,0.532142857142857
"625","Praveen JORDAN","Melati Daeva OKTAVIANTI","Yuki KANEKO","Misaki MATSUTOMO",24,2019,"Mixed","Doubles",3,1,2,149,143,6,0.333333333333333,292,0.51027397260274
"626","CHEN Yufei",NA,"Akane YAMAGUCHI",NA,1,2018,"Women","Singles",8,4,4,383,357,26,0.5,740,0.517567567567568
"627","TAI Tzu Ying",NA,"CHEN Yufei",NA,2,2018,"Women","Singles",6,6,0,324,259,65,1,583,0.555746140651801
"628","PUSARLA V. Sindhu",NA,"Akane YAMAGUCHI",NA,3,2018,"Women","Singles",6,5,1,289,255,34,0.833333333333333,544,0.53125
"629","TAI Tzu Ying",NA,"HE Bingjiao",NA,4,2018,"Women","Singles",6,5,1,282,211,71,0.833333333333333,493,0.572008113590264
"630","CHEN Yufei",NA,"Ratchanok INTANON",NA,5,2018,"Women","Singles",5,3,2,275,262,13,0.6,537,0.512104283054004
"631","TAI Tzu Ying",NA,"Saina NEHWAL",NA,6,2018,"Women","Singles",6,6,0,272,200,72,1,472,0.576271186440678
"632","CHEN Yufei",NA,"SUNG Ji Hyun",NA,7,2018,"Women","Singles",5,5,0,251,191,60,1,442,0.567873303167421
"633","Nozomi OKUHARA",NA,"Saina NEHWAL",NA,8,2018,"Women","Singles",4,2,2,224,219,5,0.5,443,0.505643340857788
"634","CHEN Yufei",NA,"Nitchaon JINDAPOL",NA,9,2018,"Women","Singles",4,4,0,220,180,40,1,400,0.55
"635","Nozomi OKUHARA",NA,"HE Bingjiao",NA,10,2018,"Women","Singles",4,4,0,206,147,59,1,353,0.58356940509915
"636","PUSARLA V. Sindhu",NA,"Beiwen ZHANG",NA,11,2018,"Women","Singles",4,2,2,199,161,38,0.5,360,0.552777777777778
"637","Nozomi OKUHARA",NA,"Pornpawee CHOCHUWONG",NA,12,2018,"Women","Singles",4,3,1,191,156,35,0.75,347,0.550432276657061
"638","CAI Yanyan",NA,"GAO Fangjie",NA,13,2018,"Women","Singles",4,2,2,190,182,8,0.5,372,0.510752688172043
"639","Akane YAMAGUCHI",NA,"Nozomi OKUHARA",NA,14,2018,"Women","Singles",4,2,2,186,185,1,0.5,371,0.501347708894879
"640","TAI Tzu Ying",NA,"Soniia CHEAH",NA,14,2018,"Women","Singles",4,4,0,186,135,51,1,321,0.579439252336449
"641","Nozomi OKUHARA",NA,"CHEUNG Ngan Yi",NA,16,2018,"Women","Singles",4,4,0,182,133,49,1,315,0.577777777777778
"642","Akane YAMAGUCHI",NA,"HE Bingjiao",NA,16,2018,"Women","Singles",4,3,1,182,166,16,0.75,348,0.522988505747126
"643","Saina NEHWAL",NA,"Akane YAMAGUCHI",NA,18,2018,"Women","Singles",4,1,3,180,178,2,0.25,358,0.502793296089385
"644","Akane YAMAGUCHI",NA,"Beiwen ZHANG",NA,19,2018,"Women","Singles",4,2,2,179,148,31,0.5,327,0.547400611620795
"645","PUSARLA V. Sindhu",NA,"Nozomi OKUHARA",NA,19,2018,"Women","Singles",4,3,1,179,172,7,0.75,351,0.50997150997151
"646","Mia BLICHFELDT",NA,"Evgeniya KOSETSKAYA",NA,21,2018,"Women","Singles",3,2,1,171,160,11,0.666666666666667,331,0.516616314199396
"647","KISONA Selvaduray",NA,"Ruselli HARTAWAN",NA,21,2018,"Women","Singles",3,2,1,171,163,8,0.666666666666667,334,0.511976047904192
"648","Ratchanok INTANON",NA,"Fitriani FITRIANI",NA,24,2018,"Women","Singles",4,4,0,168,98,70,1,266,0.631578947368421
"649","TAI Tzu Ying",NA,"Akane YAMAGUCHI",NA,24,2018,"Women","Singles",4,2,2,168,160,8,0.5,328,0.51219512195122
"650","PUSARLA V. Sindhu",NA,"Nitchaon JINDAPOL",NA,24,2018,"Women","Singles",3,3,0,168,151,17,1,319,0.526645768025078
"651","Misaki MATSUTOMO","Ayaka TAKAHASHI","Greysia POLII","Apriyani RAHAYU",1,2018,"Women","Doubles",7,6,1,307,276,31,0.857142857142857,583,0.526586620926244
"652","Nami MATSUYAMA","Chiharu SHIDA","Ayako SAKURAMOTO","Yukiko TAKAHATA",2,2018,"Women","Doubles",5,1,4,247,246,1,0.2,493,0.501014198782961
"653","Yuki FUKUSHIMA","Sayaka HIROTA","Greysia POLII","Apriyani RAHAYU",3,2018,"Women","Doubles",5,5,0,231,161,70,1,392,0.589285714285714
"654","Misaki MATSUTOMO","Ayaka TAKAHASHI","Mayu MATSUMOTO","Wakana NAGAHARA",4,2018,"Women","Doubles",5,3,2,213,202,11,0.6,415,0.513253012048193
"655","Yuki FUKUSHIMA","Sayaka HIROTA","Mayu MATSUMOTO","Wakana NAGAHARA",4,2018,"Women","Doubles",4,2,2,213,200,13,0.5,413,0.515738498789346
"656","LEE So Hee","SHIN Seung Chan","Gabriela STOEVA","Stefani STOEVA",6,2018,"Women","Doubles",5,3,2,207,191,16,0.6,398,0.520100502512563
"657","Yuki FUKUSHIMA","Sayaka HIROTA","Della Destiara HARIS","Rizki Amelia PRADIPTA",7,2018,"Women","Doubles",4,4,0,195,155,40,1,350,0.557142857142857
"658","Misaki MATSUTOMO","Ayaka TAKAHASHI","Della Destiara HARIS","Rizki Amelia PRADIPTA",8,2018,"Women","Doubles",4,4,0,187,114,73,1,301,0.621262458471761
"659","CHEN Qingchen","JIA Yifan","Jongkolphan KITITHARAKUL","Rawinda PRAJONGJAI",9,2018,"Women","Doubles",4,4,0,186,149,37,1,335,0.555223880597015
"660","Jongkolphan KITITHARAKUL","Rawinda PRAJONGJAI","Maiken FRUERGAARD","Sara THYGESEN",10,2018,"Women","Doubles",4,3,1,182,150,32,0.75,332,0.548192771084337
"661","Misaki MATSUTOMO","Ayaka TAKAHASHI","DU Yue","LI Yinhui",11,2018,"Women","Doubles",4,3,1,174,140,34,0.75,314,0.554140127388535
"662","Yuki FUKUSHIMA","Sayaka HIROTA","Jongkolphan KITITHARAKUL","Rawinda PRAJONGJAI",12,2018,"Women","Doubles",4,3,1,172,141,31,0.75,313,0.549520766773163
"663","Gabriela STOEVA","Stefani STOEVA","Emilie LEFEL","Anne TRAN",14,2018,"Women","Doubles",4,4,0,168,96,72,1,264,0.636363636363636
"664","Mayu MATSUMOTO","Wakana NAGAHARA","Gabriela STOEVA","Stefani STOEVA",14,2018,"Women","Doubles",4,4,0,168,109,59,1,277,0.606498194945848
"665","CHEN Qingchen","JIA Yifan","CHANG Ye Na","JUNG Kyung Eun",14,2018,"Women","Doubles",3,3,0,168,167,1,1,335,0.501492537313433
"666","Yuki FUKUSHIMA","Sayaka HIROTA","CHEN Qingchen","JIA Yifan",16,2018,"Women","Doubles",4,2,2,159,155,4,0.5,314,0.506369426751592
"667","Greysia POLII","Apriyani RAHAYU","LEE So Hee","SHIN Seung Chan",17,2018,"Women","Doubles",3,2,1,157,143,14,0.666666666666667,300,0.523333333333333
"668","Misaki MATSUTOMO","Ayaka TAKAHASHI","Yuki FUKUSHIMA","Sayaka HIROTA",18,2018,"Women","Doubles",3,1,2,153,147,6,0.333333333333333,300,0.51
"669","CHEN Qingchen","JIA Yifan","DU Yue","LI Yinhui",19,2018,"Women","Doubles",4,2,2,148,143,5,0.5,291,0.508591065292096
"670","CHANG Ye Na","JUNG Kyung Eun","Yuki FUKUSHIMA","Sayaka HIROTA",19,2018,"Women","Doubles",3,2,1,148,131,17,0.666666666666667,279,0.530465949820789
"671","Yuki FUKUSHIMA","Sayaka HIROTA","Anggia Shitta AWANDA","Ni Ketut Mahadewi ISTARANI",21,2018,"Women","Doubles",3,3,0,146,128,18,1,274,0.532846715328467
"672","DU Yue","LI Yinhui","Mayu MATSUMOTO","Wakana NAGAHARA",22,2018,"Women","Doubles",3,2,1,145,131,14,0.666666666666667,276,0.52536231884058
"673","Misaki MATSUTOMO","Ayaka TAKAHASHI","Ashwini PONNAPPA","REDDY N. Sikki",23,2018,"Women","Doubles",3,3,0,144,102,42,1,246,0.585365853658537
"674","LEE So Hee","SHIN Seung Chan","Mayu MATSUMOTO","Wakana NAGAHARA",24,2018,"Women","Doubles",3,2,1,143,127,16,0.666666666666667,270,0.52962962962963
"675","Misaki MATSUTOMO","Ayaka TAKAHASHI","CHEN Qingchen","JIA Yifan",24,2018,"Women","Doubles",3,2,1,143,122,21,0.666666666666667,265,0.539622641509434
"676","SON Wan Ho",NA,"Kenta NISHIMOTO",NA,1,2018,"Men","Singles",7,5,2,335,320,15,0.714285714285714,655,0.511450381679389
"677","Kento MOMOTA",NA,"CHOU Tien Chen",NA,2,2018,"Men","Singles",6,5,1,302,259,43,0.833333333333333,561,0.538324420677362
"678","Kento MOMOTA",NA,"Anthony Sinisuka GINTING",NA,3,2018,"Men","Singles",6,4,2,291,274,17,0.666666666666667,565,0.515044247787611
"679","CHOU Tien Chen",NA,"Anthony Sinisuka GINTING",NA,4,2018,"Men","Singles",5,3,2,263,249,14,0.6,512,0.513671875
"680","Anthony Sinisuka GINTING",NA,"CHEN Long",NA,5,2018,"Men","Singles",5,4,1,239,212,27,0.8,451,0.529933481152993
"681","SHI Yuqi",NA,"NG Ka Long Angus",NA,6,2018,"Men","Singles",5,4,1,224,162,62,0.8,386,0.580310880829015
"682","Kento MOMOTA",NA,"KIDAMBI Srikanth",NA,7,2018,"Men","Singles",5,5,0,222,159,63,1,381,0.582677165354331
"683","SHI Yuqi",NA,"Anthony Sinisuka GINTING",NA,8,2018,"Men","Singles",4,4,0,218,194,24,1,412,0.529126213592233
"684","CHOU Tien Chen",NA,"SHI Yuqi",NA,9,2018,"Men","Singles",5,2,3,206,195,11,0.4,401,0.513715710723192
"685","Kento MOMOTA",NA,"SON Wan Ho",NA,10,2018,"Men","Singles",5,4,1,203,159,44,0.8,362,0.560773480662983
"686","CHOU Tien Chen",NA,"NG Ka Long Angus",NA,11,2018,"Men","Singles",4,3,1,201,186,15,0.75,387,0.51937984496124
"687","Jonatan CHRISTIE",NA,"Kenta NISHIMOTO",NA,12,2018,"Men","Singles",4,3,1,191,178,13,0.75,369,0.517615176151762
"688","Khosit PHETPRADAB",NA,"LEE Dong Keun",NA,13,2018,"Men","Singles",4,2,2,188,164,24,0.5,352,0.534090909090909
"689","Jan O JORGENSEN",NA,"Riichi TAKESHITA",NA,14,2018,"Men","Singles",3,2,1,182,170,12,0.666666666666667,352,0.517045454545455
"690","CHOU Tien Chen",NA,"LEE Dong Keun",NA,14,2018,"Men","Singles",3,2,1,182,150,32,0.666666666666667,332,0.548192771084337
"691","KIDAMBI Srikanth",NA,"WONG Wing Ki Vincent",NA,16,2018,"Men","Singles",5,4,1,173,133,40,0.8,306,0.565359477124183
"692","SHI Yuqi",NA,"Jonatan CHRISTIE",NA,16,2018,"Men","Singles",3,1,2,173,167,6,0.333333333333333,340,0.508823529411765
"693","Kento MOMOTA",NA,"CHEN Long",NA,18,2018,"Men","Singles",4,3,1,171,154,17,0.75,325,0.526153846153846
"694","CHOU Tien Chen",NA,"Rasmus GEMKE",NA,19,2018,"Men","Singles",4,3,1,170,152,18,0.75,322,0.527950310559006
"695","Kento MOMOTA",NA,"SHI Yuqi",NA,20,2018,"Men","Singles",4,3,1,161,141,20,0.75,302,0.533112582781457
"696","Sameer VERMA",NA,"Lucas CORVEE",NA,21,2018,"Men","Singles",3,2,1,159,140,19,0.666666666666667,299,0.531772575250836
"697","Kento MOMOTA",NA,"Anders ANTONSEN",NA,21,2018,"Men","Singles",3,3,0,159,121,38,1,280,0.567857142857143
"698","Sitthikom THAMMASIN",NA,"Firman Abdul KHOLIK",NA,23,2018,"Men","Singles",3,3,0,156,134,22,1,290,0.537931034482759
"699","LEE Hyun Il",NA,"Anders ANTONSEN",NA,23,2018,"Men","Singles",3,2,1,156,144,12,0.666666666666667,300,0.52
"700","Tommy SUGIARTO",NA,"Kantaphon WANGCHAROEN",NA,25,2018,"Men","Singles",3,3,0,155,127,28,1,282,0.549645390070922
"701","LIU Cheng","ZHANG Nan","GOH V Shem","TAN Wee Kiong",1,2018,"Men","Doubles",5,2,3,289,278,11,0.4,567,0.509700176366843
"702","Takeshi KAMURA","Keigo SONODA","Fajar ALFIAN","Muhammad Rian ARDIANTO",2,2018,"Men","Doubles",5,2,3,230,230,0,0.4,460,0.5
"703","Fajar ALFIAN","Muhammad Rian ARDIANTO","Takeshi KAMURA","Keigo SONODA",2,2018,"Men","Doubles",5,3,2,230,230,0,0.6,460,0.5
"704","Marcus Fernaldi GIDEON","Kevin Sanjaya SUKAMULJO","Mohammad AHSAN","Hendra SETIAWAN",4,2018,"Men","Doubles",4,4,0,207,158,49,1,365,0.567123287671233
"705","LIU Cheng","ZHANG Nan","LEE Jhe-Huei","LEE Yang",5,2018,"Men","Doubles",4,3,1,199,178,21,0.75,377,0.527851458885942
"706","Marcus Fernaldi GIDEON","Kevin Sanjaya SUKAMULJO","HE Jiting","TAN Qiang",6,2018,"Men","Doubles",4,3,1,194,190,4,0.75,384,0.505208333333333
"707","Hiroyuki ENDO","Yuta WATANABE","LIAO Min Chun","SU Ching Heng",7,2018,"Men","Doubles",4,1,3,193,183,10,0.25,376,0.513297872340426
"708","LI Junhui","LIU Yuchen","Kim ASTRUP","Anders Skaarup RASMUSSEN",8,2018,"Men","Doubles",4,3,1,189,182,7,0.75,371,0.509433962264151
"709","Kim ASTRUP","Anders Skaarup RASMUSSEN","HAN Chengkai","ZHOU Haodong",9,2018,"Men","Doubles",4,4,0,185,153,32,1,338,0.547337278106509
"710","Marcus Fernaldi GIDEON","Kevin Sanjaya SUKAMULJO","LI Junhui","LIU Yuchen",10,2018,"Men","Doubles",4,3,1,177,151,26,0.75,328,0.539634146341463
"711","Marcus Fernaldi GIDEON","Kevin Sanjaya SUKAMULJO","HAN Chengkai","ZHOU Haodong",11,2018,"Men","Doubles",4,1,3,176,158,18,0.25,334,0.526946107784431
"712","CHEN Hung Ling","WANG Chi-Lin","HE Jiting","TAN Qiang",12,2018,"Men","Doubles",4,2,2,171,165,6,0.5,336,0.508928571428571
"713","Marcus Fernaldi GIDEON","Kevin Sanjaya SUKAMULJO","Takeshi KAMURA","Keigo SONODA",14,2018,"Men","Doubles",4,3,1,163,128,35,0.75,291,0.560137457044674
"714","LI Junhui","LIU Yuchen","CHEN Hung Ling","WANG Chi-Lin",14,2018,"Men","Doubles",3,3,0,163,120,43,1,283,0.575971731448763
"715","OU Xuanyi","REN Xiangyu","Min Hyuk KANG","KIM Won Ho",14,2018,"Men","Doubles",3,2,1,163,149,14,0.666666666666667,312,0.522435897435897
"716","HE Jiting","TAN Qiang","Takuro HOKI","Yugo KOBAYASHI",14,2018,"Men","Doubles",3,3,0,163,145,18,1,308,0.529220779220779
"717","Mohammad AHSAN","Hendra SETIAWAN","LEE Jhe-Huei","LEE Yang",17,2018,"Men","Doubles",3,2,1,159,145,14,0.666666666666667,304,0.523026315789474
"718","LI Junhui","LIU Yuchen","LU Ching Yao","YANG Po Han",17,2018,"Men","Doubles",3,3,0,159,136,23,1,295,0.538983050847458
"719","LI Junhui","LIU Yuchen","Fajar ALFIAN","Muhammad Rian ARDIANTO",19,2018,"Men","Doubles",3,2,1,151,143,8,0.666666666666667,294,0.513605442176871
"720","Marcus Fernaldi GIDEON","Kevin Sanjaya SUKAMULJO","Satwiksairaj RANKIREDDY","Chirag SHETTY",20,2018,"Men","Doubles",3,3,0,150,117,33,1,267,0.561797752808989
"721","Marcus Fernaldi GIDEON","Kevin Sanjaya SUKAMULJO","Kim ASTRUP","Anders Skaarup RASMUSSEN",21,2018,"Men","Doubles",3,3,0,147,119,28,1,266,0.552631578947368
"722","Mathias BOE","Carsten MOGENSEN","Satwiksairaj RANKIREDDY","Chirag SHETTY",21,2018,"Men","Doubles",3,2,1,147,145,2,0.666666666666667,292,0.503424657534247
"723","Marcus Fernaldi GIDEON","Kevin Sanjaya SUKAMULJO","CHEN Hung Ling","WANG Chi-Lin",23,2018,"Men","Doubles",3,3,0,146,106,40,1,252,0.579365079365079
"724","Fajar ALFIAN","Muhammad Rian ARDIANTO","ONG Yew Sin","TEO Ee Yi",24,2018,"Men","Doubles",3,2,1,142,125,17,0.666666666666667,267,0.531835205992509
"725","Takeshi KAMURA","Keigo SONODA","CHEN Hung Ling","WANG Chi-Lin",24,2018,"Men","Doubles",3,3,0,142,114,28,1,256,0.5546875
"726","WANG Yilyu","HUANG Dongping","Yuta WATANABE","Arisa HIGASHINO",1,2018,"Mixed","Doubles",8,7,1,376,297,79,0.875,673,0.558692421991085
"727","ZHENG Siwei","HUANG Yaqiong","WANG Yilyu","HUANG Dongping",2,2018,"Mixed","Doubles",7,6,1,339,294,45,0.857142857142857,633,0.535545023696682
"728","ZHENG Siwei","HUANG Yaqiong","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI",3,2018,"Mixed","Doubles",5,5,0,265,199,66,1,464,0.571120689655172
"729","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI","GOH Soon Huat","LAI Shevon Jemie",4,2018,"Mixed","Doubles",5,3,2,232,208,24,0.6,440,0.527272727272727
"730","ZHENG Siwei","HUANG Yaqiong","TANG Chun Man","TSE Ying Suet",5,2018,"Mixed","Doubles",5,4,1,227,163,64,0.8,390,0.582051282051282
"731","Marcus ELLIS","Lauren SMITH","Marvin SEIDEL","Linda EFLER",6,2018,"Mixed","Doubles",5,5,0,213,145,68,1,358,0.594972067039106
"732","Praveen JORDAN","Melati Daeva OKTAVIANTI","Chris ADCOCK","Gabrielle ADCOCK",7,2018,"Mixed","Doubles",4,2,2,199,177,22,0.5,376,0.529255319148936
"733","ZHENG Siwei","HUANG Yaqiong","Yuta WATANABE","Arisa HIGASHINO",7,2018,"Mixed","Doubles",4,3,1,199,152,47,0.75,351,0.566951566951567
"734","Praveen JORDAN","Melati Daeva OKTAVIANTI","CHAN Peng Soon","GOH Liu Ying",9,2018,"Mixed","Doubles",4,3,1,196,182,14,0.75,378,0.518518518518518
"735","WANG Yilyu","HUANG Dongping","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI",10,2018,"Mixed","Doubles",4,2,2,181,178,3,0.5,359,0.504178272980501
"736","Yuta WATANABE","Arisa HIGASHINO","TANG Chun Man","TSE Ying Suet",11,2018,"Mixed","Doubles",3,3,0,177,163,14,1,340,0.520588235294118
"737","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI","Chris ADCOCK","Gabrielle ADCOCK",12,2018,"Mixed","Doubles",3,3,0,174,157,17,1,331,0.525679758308157
"738","ZHENG Siwei","HUANG Yaqiong","Tontowi AHMAD","Liliyana NATSIR",13,2018,"Mixed","Doubles",4,3,1,169,147,22,0.75,316,0.534810126582278
"739","SEO Seung Jae","CHAE YuJung","CHAN Peng Soon","GOH Liu Ying",14,2018,"Mixed","Doubles",3,2,1,164,141,23,0.666666666666667,305,0.537704918032787
"740","ZHENG Siwei","HUANG Yaqiong","Niclas NOHR","Sara THYGESEN",14,2018,"Mixed","Doubles",3,3,0,164,140,24,1,304,0.539473684210526
"741","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI","CHANG Tak Ching","NG Wing Yung",16,2018,"Mixed","Doubles",3,3,0,162,119,43,1,281,0.576512455516014
"742","WANG Yilyu","HUANG Dongping","Praveen JORDAN","Melati Daeva OKTAVIANTI",17,2018,"Mixed","Doubles",3,3,0,158,126,32,1,284,0.556338028169014
"743","Yuta WATANABE","Arisa HIGASHINO","Hafiz FAIZAL","Gloria Emanuelle WIDJAJA",17,2018,"Mixed","Doubles",3,2,1,158,149,9,0.666666666666667,307,0.514657980456026
"744","Mark LAMSFUSS","Isabel HERTTRICH","LU Kai","CHEN Lu",19,2018,"Mixed","Doubles",4,2,2,156,149,7,0.5,305,0.511475409836066
"745","SEO Seung Jae","CHAE YuJung","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI",20,2018,"Mixed","Doubles",3,2,1,153,133,20,0.666666666666667,286,0.534965034965035
"746","Mark LAMSFUSS","Isabel HERTTRICH","Jacco ARENDS","Selena PIEK",21,2018,"Mixed","Doubles",4,3,1,145,112,33,0.75,257,0.56420233463035
"747","ZHENG Siwei","HUANG Yaqiong","ZHANG Nan","LI Yinhui",21,2018,"Mixed","Doubles",3,3,0,145,91,54,1,236,0.614406779661017
"748","ZHENG Siwei","HUANG Yaqiong","Chris ADCOCK","Gabrielle ADCOCK",23,2018,"Mixed","Doubles",3,3,0,143,100,43,1,243,0.588477366255144
"749","ZHANG Nan","LI Yinhui","Yuta WATANABE","Arisa HIGASHINO",24,2018,"Mixed","Doubles",3,2,1,136,122,14,0.666666666666667,258,0.527131782945736
"750","ZHENG Siwei","HUANG Yaqiong","CHAN Peng Soon","GOH Liu Ying",25,2018,"Mixed","Doubles",3,2,1,135,128,7,0.666666666666667,263,0.513307984790874
