"","fighter_name","Weight","Reach","Stance","SLpM","Str_Acc","SApM","Str_Def","TD_Avg","TD_Acc","TD_Def","Sub_Avg","birthyear","height_inches"
"1223","Lucie Pudilova",125,67,"Orthodox",4.15,36,4.09,52,0.16,12,61,0.6,1994,68
"1224","Claudio Puelles",155,72,"Southpaw",1.95,44,3.73,50,3.06,36,0,1.3,1996,71
"1225","Jens Pulver",145,70,"Southpaw",2.12,37,3.13,56,0.22,33,63,0.3,1974,67
"1226","CM Punk",170,73,"Orthodox",1.1,23,4.87,40,0.87,11,0,0,1978,73
"1227","Joe Pyfer",185,75,"Orthodox",2.76,48,3.68,23,3.45,100,0,0,1996,74
"1228","Mike Pyle",170,74,"Orthodox",2.74,45,2.84,60,1.8,35,70,1.5,1975,72
"1229","Billy Quarantillo",145,70,"Orthodox",7.03,64,4.37,42,1.28,31,57,1.8,1988,70
"1230","Nate Quarry",185,72,"Open Stance",4.96,44,2.8,66,0.25,33,60,0,1972,72
"1231","Michel Quinones",155,73,"Orthodox",2.91,29,5.98,48,0,0,36,0,1984,70
"1232","Jose Quinonez",135,69,"Southpaw",3.6,45,3,64,2.7,47,42,0.6,1990,68
"1233","Ricky Rainey",170,77,"Switch",2.55,48,2.62,46,0.95,18,55,0,1983,73
"1234","Shavkat Rakhmonov",170,77,"Orthodox",2.79,52,1.93,50,0,0,100,3.2,1994,73
"1235","Aleksandar Rakic",205,78,"Orthodox",4.23,52,2.23,52,0.75,25,90,0.2,1992,76
"1236","Davi Ramos",155,70,"Orthodox",2.64,37,3.44,56,1.95,40,83,0.6,1986,66
"1237","Ricardo Ramos",145,72,"Orthodox",3,39,3.28,58,1.99,56,71,0.7,1995,69
"1238","Ed Ratcliff",155,71,"Orthodox",2.71,38,2.96,63,0.28,16,53,0,1983,70
"1239","Bec Rawlings",125,64,"Orthodox",4.48,42,5.66,57,0.71,40,68,0.4,1989,66
"1240","Stevie Ray",155,70,"Southpaw",3.73,44,2.93,54,0.75,46,55,0.6,1990,70
"1241","Abdul Razak Alhassan",170,73,"Orthodox",4.54,48,5.11,53,0.72,28,42,0,1985,70
"1242","Rafael Rebello",135,67,"Orthodox",2.19,32,3.29,58,2.82,33,75,0.5,1980,65
"1243","Greg Rebello",240,73,"Southpaw",2.61,39,2.92,58,0,0,0,0,1982,72
"1244","Karl Reed",205,78,"Orthodox",2.04,44,3.84,38,1.06,22,53,0,1988,75
