"","player","level","gender","division","team_name","statistic","value"
"1518","Erica Clarke","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"1519","Ella Khoury","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts","Team Games",5
"1520","Ella Barker","Division 1","Women","Division 1 Women","Colorado State Helle's Belles","Team Games",5
"1521","Dylan Mullaney","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"1522","Danielle Dattler","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear","Team Games",5
"1523","Claire Bates","Division 1","Women","Division 1 Women","Victoria Vikes","Team Games",5
"1524","Christina Coulton","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear","Team Games",5
"1525","Cassandra Banuelos","Division 1","Women","Division 1 Women","Colorado State Helle's Belles","Team Games",5
"1526","Carinna Kinnaman","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"1527","Calliope Cutchins","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"1528","Alexander (Zander) Lutz","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"1529","Addison Hardin","Division 3","Women","Division 3 Women","Davenport Panthers","Team Games",5
"1530","Emmett Young","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"1531","Vincent Zhang","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"1532","Natalie Lang-Ree","Division 3","Women","Division 3 Women","Carleton Eclipse","Team Games",6
"1533","Miu Shiraiwa","Division 1","Women","Division 1 Women","British Columbia Thunderbirds","Team Games",6
"1534","Margaret Heffernan","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles","Team Games",6
"1535","Mae Browning","Division 1","Women","Division 1 Women","Vermont Ruckus","Team Games",6
"1536","luxuan Chang","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"1537","Lucy Leither","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts","Team Games",6
"1538","Lily Freeman","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts","Team Games",6
"1539","Jonathan Newman","Division 3","Men","Division 3 Men","Davenport Panthers","Team Games",6
"1540","Eliza Williams-Derry","Division 3","Women","Division 3 Women","Mount Holyoke Daisy Chain","Team Games",6
"1541","Claire Wilson-Black","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"1542","Cassidy Recker","Division 3","Women","Division 3 Women","Colorado College Zenith","Team Games",6
"1543","Carolyn Rivero","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts","Team Games",6
"1544","Camden Thomason","Division 3","Women","Division 3 Women","Richmond Red Hots","Team Games",6
"1545","Brielle Ramsdal","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"1546","Benjamin Sparks","Division 3","Men","Division 3 Men","Bates Orange Whip","Team Games",6
"1547","Andrew Li","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"1548","Addelyne Lilley","Division 3","Women","Division 3 Women","Wellesley Whiptails","Team Games",6
"1549","Liana Bradley","Division 1","Women","Division 1 Women","Colorado Quandary","Team Games",7
"1550","Emma Williamson","Division 1","Women","Division 1 Women","Colorado Quandary","Team Games",7
"1551","Seth Fisher-Olvera","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"1552","Samantha Coulton","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear","Team Games",5
"1553","Raphael Epstein","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"1554","Rachel Barkan","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"1555","Poppy Wagner","Division 1","Women","Division 1 Women","Pennsylvania Venus","Team Games",5
"1556","Nahlah Mkaouri","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"1557","Fiona Cashin","Division 1","Women","Division 1 Women","Georgia Athena","Team Games",5
"1558","Emma Jansen","Division 3","Women","Division 3 Women","St Olaf Vortex","Team Games",5
"1559","Clara Moss","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"1560","Celeste Alden","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"1561","Allison Ryan","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"1562","Alexa Jeantette-Coca","Division 1","Women","Division 1 Women","Western Washington Chaos","Team Games",5
"1563","Shaelyn Woo","Division 1","Women","Division 1 Women","British Columbia Thunderbirds","Team Games",6
"1564","Olivia Benton","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles","Team Games",6
"1565","Nola Busansky","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles","Team Games",6
"1566","Morgan Bridges","Division 3","Women","Division 3 Women","Portland UPRoar","Team Games",6
"1567","Lauren Wu","Division 3","Women","Division 3 Women","Wellesley Whiptails","Team Games",6
"1568","Grace Prince","Division 3","Women","Division 3 Women","Carleton Eclipse","Team Games",6
"1569","Zachary Sanders","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat","Team Games",6
"1570","Sarah Clarke","Division 3","Women","Division 3 Women","Richmond Red Hots","Team Games",6
"1571","Ridge Huang","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
"1572","Natalie Collier","Division 1","Women","Division 1 Women","Western Washington Chaos","Team Games",5
"1573","Mia Beeman-Weber","Division 1","Women","Division 1 Women","Carleton Syzygy","Team Games",6
"1574","Madison Ong","Division 1","Women","Division 1 Women","British Columbia Thunderbirds","Team Games",6
"1575","Haruna Krumholz","Division 1","Women","Division 1 Women","California - Santa Cruz Sol","Team Games",5
"1576","Hannah Pierce","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts","Team Games",6
"1577","Emily Pozzy","Division 1","Women","Division 1 Women","Vermont Ruckus","Team Games",6
"1578","Elizabeth Rosen","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles","Team Games",6
"1579","Claire Knopf","Division 3","Women","Division 3 Women","Macalester Purse Snatchers","Team Games",6
"1580","Caroline Cooper","Division 3","Women","Division 3 Women","Carleton Eclipse","Team Games",6
"1581","brodie monohan","Division 3","Men","Division 3 Men","Whitman Sweets","Team Games",6
"1582","Antara Ramkumar","Division 3","Women","Division 3 Women","Wellesley Whiptails","Team Games",6
"1583","Anna Fisher Lopez","Division 1","Women","Division 1 Women","Stanford Superfly","Team Games",7
"1584","Reece Liu","Division 3","Women","Division 3 Women","Mount Holyoke Daisy Chain","Team Games",6
"1585","Mia Smith","Division 3","Women","Division 3 Women","Colorado College Zenith","Team Games",6
"1586","Emma Steckline","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles","Team Games",6
"1587","Celia Plaut","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"1588","Andrew Clayton","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat","Team Games",6
"1589","Adella Catanzaro","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts","Team Games",6
"1590","Zane Bird Smith","Division 1","Women","Division 1 Women","California - Santa Cruz Sol","Team Games",5
"1591","Yasmin Banares","Division 3","Women","Division 3 Women","Davenport Panthers","Team Games",5
"1592","Sonja Lee","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"1593","Sage Migon","Division 1","Women","Division 1 Women","Utah Spiral Jetty","Team Games",5
"1594","Meghan Quigley","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"1595","Mae Kline","Division 1","Women","Division 1 Women","Georgia Athena","Team Games",5
"1596","Karina Illingworth","Division 1","Women","Division 1 Women","Utah Spiral Jetty","Team Games",5
"1597","Grace McCann","Division 3","Women","Division 3 Women","Davenport Panthers","Team Games",5
"1598","Caroline Bach","Division 1","Women","Division 1 Women","Pennsylvania Venus","Team Games",5
"1599","Ariana O'Shea","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts","Team Games",5
"1600","Bella Russell","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"1601","Olivia Bordon","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles","Team Games",6
"1602","Kelsey Viadro","Division 3","Women","Division 3 Women","Colorado College Zenith","Team Games",6
"1603","Rosa Rudolph","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"1604","Parker Bert","Division 1","Women","Division 1 Women","Utah Spiral Jetty","Team Games",5
"1605","Lilian Liu","Division 1","Women","Division 1 Women","Pennsylvania Venus","Team Games",5
"1606","Lauren Feeney","Division 1","Women","Division 1 Women","Colorado State Helle's Belles","Team Games",5
"1607","Grace Sokolow","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"1608","Emily Kay-Leighton","Division 1","Women","Division 1 Women","Victoria Vikes","Team Games",5
"1609","Benjamin Zhu","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"1610","Megan Kraut","Division 3","Women","Division 3 Women","Richmond Red Hots","Team Games",6
"1611","Maya Sisk","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"1612","Luiza Pessoa","Division 3","Women","Division 3 Women","Richmond Red Hots","Team Games",6
"1613","James Fishman-Morren","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus","Team Games",6
"1614","Adeline Fabel","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"1615","Rachel Chang","Division 1","Women","Division 1 Women","California - Santa Cruz Sol","Team Games",5
"1616","Lily Nygard","Division 1","Women","Division 1 Women","Utah Spiral Jetty","Team Games",5
"1617","Lexie Buckley","Division 1","Women","Division 1 Women","California - Santa Cruz Sol","Team Games",5
"1618","Eleanor Wachtel","Division 1","Women","Division 1 Women","Utah Spiral Jetty","Team Games",5
"1619","Shanti Chier","Division 1","Women","Division 1 Women","Carleton Syzygy","Team Games",6
"1620","Mitchell Gordon","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat","Team Games",6
"1621","Jamie Eldridge","Division 3","Women","Division 3 Women","Mount Holyoke Daisy Chain","Team Games",6
"1622","Taryn Webster","Division 1","Women","Division 1 Women","Victoria Vikes","Team Games",5
"1623","Leina Goto","Division 3","Women","Division 3 Women","St Olaf Vortex","Team Games",5
"1624","Amelie Steer","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"1625","Persie Baroody","Division 3","Women","Division 3 Women","Colorado College Zenith","Team Games",6
"1626","Nora Youngelson","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"1627","Kristen Bellinger","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts","Team Games",6
"1628","EmmaChaya Lipton-Praver","Division 3","Women","Division 3 Women","Wellesley Whiptails","Team Games",6
"1629","Emma Feldman","Division 3","Women","Division 3 Women","Wellesley Whiptails","Team Games",6
"1630","Rachel Abrahams","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"1631","Marin Cohan","Division 1","Women","Division 1 Women","Western Washington Chaos","Team Games",5
"1632","Luca Pieretti","Division 3","Women","Division 3 Women","Colorado College Zenith","Team Games",6
"1633","Grace Bradley","Division 1","Women","Division 1 Women","California - Santa Cruz Sol","Team Games",5
"1634","Zoe Marquis","Division 3","Women","Division 3 Women","Carleton Eclipse","Team Games",6
"1635","Nora Jacobsen","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles","Team Games",6
"1636","Maggie Brown","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles","Team Games",6
"1637","Claire Ward","Division 3","Women","Division 3 Women","Union Jillz","Team Games",6
"1638","Arenaria Cramer","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"1639","Quincy Booth","Division 1","Women","Division 1 Women","Georgia Athena","Team Games",5
"1640","Lucy Bridal","Division 1","Women","Division 1 Women","Victoria Vikes","Team Games",5
"1641","Keely Baker","Division 1","Women","Division 1 Women","Georgia Athena","Team Games",5
"1642","Josie Fenske","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"1643","Claire Lee","Division 3","Women","Division 3 Women","Macalester Purse Snatchers","Team Games",6
"1644","Koume Matsutori","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"1645","Galileo Fries","Division 3","Women","Division 3 Women","Colorado College Zenith","Team Games",6
"1646","Xuan Feldman","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"1647","Eleanor Wheeler","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"1648","Grace Brown","Division 1","Women","Division 1 Women","Colorado State Helle's Belles","Team Games",5
"1649","Kathryn Haynes","Division 3","Women","Division 3 Women","Union Jillz","Team Games",6
"1650","Esther Filipek","Division 1","Women","Division 1 Women","Stanford Superfly","Team Games",7
"1651","Adi Megiddo","Division 3","Women","Division 3 Women","Macalester Purse Snatchers","Team Games",6
"1652","Mia Tomay Bongcaron","Division 1","Women","Division 1 Women","Georgia Athena","Team Games",5
"1653","Grace Goldenberg","Division 1","Women","Division 1 Women","Colorado State Helle's Belles","Team Games",5
"1654","Breanna Roussin","Division 1","Women","Division 1 Women","Victoria Vikes","Team Games",5
"1655","Krishangi Dandapure","Division 3","Women","Division 3 Women","Wellesley Whiptails","Team Games",6
"1656","Arianna Kightlinger","Division 3","Women","Division 3 Women","Richmond Red Hots","Team Games",6
"1657","Alicia Brolly","Division 1","Women","Division 1 Women","Victoria Vikes","Team Games",5
"1658","Claire Torgelson","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts","Team Games",6
"1659","Emma Alatzas","Division 3","Women","Division 3 Women","Richmond Red Hots","Team Games",6
"1660","Lily Pesikoff","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"1661","Lily van Linder","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"1662","Bella Steedly","Division 3","Women","Division 3 Women","Wellesley Whiptails","Team Games",6
"1663","Rui Lin","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts","Team Games",6
"1664","Lanie O'Neill","Division 3","Women","Division 3 Women","Davenport Panthers","Team Games",5
"1665","Lucy Sevetson","Division 3","Women","Division 3 Women","Richmond Red Hots","Team Games",6
