"","Date","Player1","Player2","Sets_P1","Sets_P2","P1_G1","P2_G1","P1_G2","P2_G2","P1_G3","P2_G3","P1_G4","P2_G4","P1_G5","P2_G5","HomeWinner"
"175",2022-06-10 15:35:00,"Samofal Y.","Peretiatko A.",1,3,10,12,11,6,4,11,9,11,NA,NA,0
"176",2022-06-10 15:45:00,"Sprongl J.","Pavelka J.",3,1,5,11,11,8,11,9,11,7,NA,NA,1
"177",2022-06-10 15:50:00,"Pashkevich R.","Kovik I.",3,2,9,11,11,5,7,11,11,4,11,4,1
"178",2022-06-10 15:50:00,"Zachar M.","Papirnik O.",2,3,4,11,6,11,11,6,11,6,10,12,0
"179",2022-06-10 15:55:00,"Baranovskiy S.","Horbanenko O.",2,3,10,12,9,11,11,8,11,3,10,12,0
"180",2022-06-10 15:55:00,"Okopnyi V.","Budnikov A.",1,3,11,7,7,11,9,11,13,15,NA,NA,0
"181",2022-06-10 16:00:00,"Zaporozhets R.","Miroshnychenko S.",1,3,7,11,9,11,12,10,9,11,NA,NA,0
"182",2022-06-10 16:05:00,"Volkov P.","Sokoltsov Y.",1,3,11,3,9,11,9,11,10,12,NA,NA,0
"183",2022-06-10 16:05:00,"Zholubak R.","Vilenchyts N.",0,3,6,11,8,11,5,11,NA,NA,NA,NA,0
"184",2022-06-10 16:20:00,"Crainiucov G.","Uzun N.",1,3,6,11,11,7,9,11,8,11,NA,NA,0
"185",2022-06-10 16:20:00,"Zimcik L.","Plyska O.",3,0,11,4,11,8,11,9,NA,NA,NA,NA,1
"186",2022-06-10 16:25:00,"Tebenko Y.","Kolos Y.",2,3,5,11,11,6,21,19,9,11,9,11,0
"187",2022-06-10 16:30:00,"Marchuk M.","Chernyshov D.",3,2,5,11,8,11,11,8,11,4,11,8,1
"188",2022-06-10 16:30:00,"Ziakun O.","Maliuk S.",3,2,12,10,13,11,9,11,10,12,11,5,1
"189",2022-06-10 16:35:00,"Drobov D.","Honchar Y.",3,0,11,6,11,6,13,11,NA,NA,NA,NA,1
"190",2022-06-10 16:35:00,"Khorolskyi V.","Pereyaslavsky D.",3,1,11,6,6,11,11,3,14,12,NA,NA,1
"191",2022-06-10 16:35:00,"Zezule O.","Barsa T.",3,0,11,9,11,6,11,5,NA,NA,NA,NA,1
"192",2022-06-10 16:50:00,"Mischenko S.","Dobrzhinsky O.",3,1,11,3,16,14,8,11,11,9,NA,NA,1
"193",2022-06-10 16:50:00,"Pavelka J.","Sprongl J.",2,3,7,11,4,11,11,4,11,6,8,11,0
"194",2022-06-10 16:55:00,"Budnikov A.","Korobko V.",0,3,8,11,8,11,6,11,NA,NA,NA,NA,0
"195",2022-06-10 16:55:00,"Kyilo V.","Diachenko M.",2,3,11,6,2,11,7,11,11,3,10,12,0
"196",2022-06-10 17:00:00,"Cuba M.","Novak R.",3,1,11,9,6,11,11,3,11,7,NA,NA,1
